"adverts"	"sales"	"airplay"	"attract"	"residuals"	"standardized.residuals"	"studentized.residuals"	"cooks.distance"	"leverage"	"covariance.ratios"
10.256	330	43	10	100.079745217441	2.17740408238376	2.19859632992664	0.0587038820601721	0.0471905256041176	0.971274990874465
985.685	120	28	7	-108.948991725879	-2.32308277865479	-2.34972370774054	0.010889432250004	0.00800653614388486	0.920183161882535
1445.563	360	35	7	68.442368458618	1.46880155150533	1.4731799194787	0.0114006598735151	0.0207004268326442	0.997110046029348
1188.193	270	33	7	7.02402624938925	0.15011595417913	0.149741123986792	7.16647752750389e-05	0.0125609455385696	1.03317954411211
574.513	220	44	5	-5.75286071693427	-0.123798339400865	-0.12348695152337	0.000102542254772175	0.02606531913255	1.04765952741322
568.954	170	19	5	28.9046432888516	0.618259706722786	0.617282712085091	0.00137734732445165	0.0142084487679076	1.02732899107411
471.814	70	20	1	-21.8717291480424	-0.487199936015884	-0.486250012929811	0.00594368005574005	0.0910425709585452	1.11747349262025
537.352	210	22	9	17.1395572036135	0.367864063669775	0.367051168054129	0.000723022760966566	0.0209244210538313	1.03960847348369
514.068	200	21	7	34.656111052101	0.738553073717988	0.73769380270673	0.000949037320273818	0.00691142892819751	1.01638118180106
174.093	300	40	7	99.5337512439587	2.13028877629469	2.14988206679835	0.017756471647924	0.0154097375251316	0.943920028238616
1720.806	290	32	7	-14.8193099595695	-0.319744223777781	-0.319010717775152	0.000822628958468825	0.0311817775186297	1.05132542683934
611.479	70	20	2	-44.8135034576547	-0.983761456896548	-0.983680209790156	0.0165706870451775	0.0640989388536731	1.0691952311083
251.192	150	24	8	-14.2183163669362	-0.303943032342755	-0.303238147519653	0.00030491808334148	0.0130305426438538	1.03219830969254
97.972	190	38	6	13.8164545650391	0.296024763240558	0.295334661078947	0.00039040114005947	0.0175082958150029	1.0370031851905
406.814	240	24	7	73.6580725775812	1.56941085719703	1.57533170114026	0.00404109572488715	0.00651996057735666	0.976692775199662
265.398	100	25	5	-35.5326097499212	-0.760350902747362	-0.759529756465075	0.00220723260538647	0.0150417301594072	1.02408581720183
1323.287	250	35	5	-9.00558425181146	-0.193991157566532	-0.193514227869246	0.000271341757664908	0.0280326674387055	1.04930223049055
196.65	210	36	8	10.0023697204611	0.214062126849983	0.213540314806918	0.000177621136022401	0.0152683760457131	1.03552782884093
1326.598	280	27	8	14.3937578425323	0.308675463238701	0.307961881994575	0.000468790422668152	0.0193005827455528	1.03873611474731
1380.689	230	33	8	-60.4022982579063	-1.29613466785239	-1.29840040609987	0.00879595665381044	0.020513569717939	1.0067773820149
792.345	210	33	7	-19.3744854832569	-0.412813277128784	-0.411937956768646	0.000281014687482528	0.00655279361480061	1.02383501367743
957.167	230	28	6	14.5580889224	0.310636708667537	0.309919554272683	0.000229105513983761	0.00940773152125799	1.02833695690351
1789.659	320	30	9	-6.10170489394501	-0.132587801758032	-0.132255066252286	0.00020620247805619	0.044816066883942	1.06817648785057
656.137	210	34	7	-11.1799183892624	-0.238197464109592	-0.237623436551003	9.19189222102307e-05	0.00643851034007177	1.02609634204309
613.697	230	49	7	-38.0887839674034	-0.81740121749181	-0.816706568390119	0.00353087257334893	0.0207007881239351	1.02810731579319
313.362	250	40	8	26.6255913251072	0.569956017414313	0.568971890437906	0.00129915328533617	0.0157450951187292	1.03014099316676
336.51	60	20	4	-53.6454783791319	-1.15432436061867	-1.15530965181882	0.00885810825494096	0.0259028485401902	1.01960839372634
1544.899	330	42	7	6.43827327360021	0.138723509894971	0.138375964221014	0.000141278581443543	0.0285276899801682	1.05023101812104
68.954	150	35	8	-35.7907524762301	-0.766925027368024	-0.766116462563011	0.00265527395416672	0.0177374463040484	1.02668528716543
785.692	150	8	6	16.4622177257987	0.353068141980635	0.352278349506358	0.000619513345686614	0.0194914865458454	1.03831532634895
125.628	180	49	7	-46.6591322395708	-1.00486682411326	-1.00489196562456	0.00716322927373881	0.0275930606993985	1.02817022808987
377.925	80	19	8	-78.1388990605603	-1.67107462673116	-1.67880846129145	0.00981839372065441	0.0138689435696497	0.977288815361538
217.994	180	42	6	-19.8412926015729	-0.425452501733132	-0.424561866691279	0.000880644609543048	0.0190892128081339	1.03669563605922
759.862	130	6	7	-5.69669210401818	-0.122376141021559	-0.122068221343802	8.68226864003399e-05	0.0226643589147281	1.04402131231232
1163.444	320	36	6	60.1089004801337	1.2868832083995	1.28905351558424	0.00673590750615073	0.0160091726446616	1.00266173674482
842.957	280	32	7	49.6967489165856	1.05894605451941	1.05927574903549	0.0018782219935752	0.00665517185858633	1.00419584492116
125.179	200	28	6	55.1812448321915	1.17868012405303	1.17985841330456	0.00403569694875922	0.0114860164714599	1.00356547914986
236.598	130	25	8	-36.3469323991566	-0.776968169283152	-0.776179810819793	0.00198650767005037	0.0129916588057332	1.02142446651166
669.811	190	34	8	-43.4269686929629	-0.926730060695945	-0.926394786893984	0.00208433822473842	0.00961448361664509	1.01263493162944
612.234	150	21	6	-12.5903574893634	-0.268394159841974	-0.267757814038526	0.000136453272290642	0.00752003001397858	1.02689375082856
922.019	230	34	7	-13.7492654707193	-0.293187794729172	-0.292503058341992	0.000175933523637629	0.00812036947702865	1.02722323160082
50	310	63	7	42.6165849299921	0.932612717034218	0.932301443616284	0.0134436897327232	0.0582267002983648	1.06466612993389
2000	340	31	7	14.8487813370408	0.322846060579219	0.322107077522434	0.00125429691456108	0.0459252737582339	1.06752830802436
1054.027	240	25	7	15.3520850650132	0.327622187010335	0.326874863542221	0.000262022886410284	0.00967013382305009	1.02838175916679
385.045	180	42	7	-45.1077227328383	-0.964639160763298	-0.964467374031031	0.00325590938683103	0.0138027715945792	1.01544172399764
1507.972	220	37	7	-83.5900589354058	-1.79672215946824	-1.807076300924	0.0196754560301943	0.0237991866644364	0.978354630822182
102.568	40	25	8	-114.969819283836	-2.46099615091923	-2.49353819149918	0.024115187915313	0.0156771225009426	0.914580003870202
204.568	190	26	7	34.0908385845508	0.727229349923477	0.726352413036769	0.00118518278634097	0.00888437442900026	1.01875039979749
1170.918	290	39	7	8.28586058085379	0.177306664730252	0.176867958446023	0.00012004215967882	0.0150439036463146	1.03559586649705
689.547	340	46	7	75.5749775562363	1.61839251439261	1.62515386130729	0.0109766705487585	0.0164870509918282	0.98341070920878
784.22	250	36	6	22.299263414136	0.476037817828142	0.475096611628797	0.000591403979862987	0.0103312101866438	1.02656465347425
405.913	190	12	4	97.4026614648238	2.0994462133587	2.1180343731112	0.0331591773716575	0.0292131323618115	0.95995328236074
179.778	120	2	8	35.927002287801	0.777882213750878	0.777095753926004	0.00596431778662484	0.0379314211469338	1.04787242806091
607.258	230	29	8	18.7199576274141	0.399348783813427	0.398490887333404	0.000359948937353323	0.00894731846752315	1.0265380056017
1542.329	190	33	8	-114.123081395714	-2.45591293513707	-2.48822405869727	0.040415896570736	0.0261035198243146	0.924857996988595
1112.47	210	28	7	-29.7111142829624	-0.634270083414593	-0.6333002504106	0.00105194015272133	0.0103510342099634	1.02290515466294
856.985	170	10	6	23.6756735451113	0.50736788521527	0.506404583950277	0.00117374828875366	0.017911811197426	1.03383749826738
836.331	310	38	7	60.0546447449907	1.28140948083832	1.28352413477367	0.00388506811935243	0.0093754441844072	0.996235605314397
236.908	90	19	4	-11.8233548536849	-0.254571625045821	-0.253963366695841	0.000451870544621331	0.0271335890679167	1.04775114462605
1077.855	140	13	6	-35.1751132980683	-0.754116411048785	-0.753283800272224	0.00271457540255409	0.0187357504556593	1.02813971846014
579.321	300	30	7	98.8102950217684	2.10407875290071	2.12281581017157	0.00594835802830878	0.0053457084736055	0.936537686643679
1500	340	38	8	22.6328825156555	0.487023826462	0.486074033745106	0.00158120661969974	0.0259728298032196	1.04282449689228
731.364	170	22	8	-28.2427822895112	-0.603148788736984	-0.602167266200508	0.00101969868045455	0.0110876808262806	1.02447353597815
25.689	100	23	6	-19.5364380607375	-0.417741438369269	-0.416860024939011	0.000600046934782424	0.0135674272624196	1.03102941608152
391.749	200	22	9	19.4990424004352	0.418747990520846	0.417865351642936	0.000988803417618237	0.0220585684382836	1.03996361674341
233.999	80	20	7	-58.2028556814794	-1.24232427363442	-1.24405877436749	0.00391965338549077	0.0100565289752532	0.998946391606325
275.7	100	18	6	-23.921452229632	-0.510757231136444	-0.509791988398481	0.000703898760934452	0.0106777298659661	1.0262055467511
56.895	70	37	7	-110.415641506173	-2.36354940981169	-2.39184465809468	0.0222889831193746	0.0157088522397949	0.923698297285143
255.117	50	16	8	-87.6120879415811	-1.87736793969804	-1.88963961992952	0.0159247489687979	0.0177523074003436	0.966367397167165
566.501	240	32	8	22.0773329346635	0.471056517949335	0.470119496158801	0.00052116394302664	0.0093073757509325	1.02560260119559
102.568	160	26	5	34.9217611593092	0.748350630653926	0.747507818577764	0.00254587844673742	0.0178591656593667	1.02740422557364
250.568	290	53	9	17.0929866146088	0.37048170865951	0.369664852514975	0.00142787414903396	0.0399494214369905	1.06016819941938
68.594	140	28	7	-11.1018825410509	-0.237168646976751	-0.236596803478249	0.000167076898507876	0.0117417356597094	1.03161291470751
642.786	210	32	7	-3.31177074761766	-0.0705347826174851	-0.0703555097887355	7.16429041146592e-06	0.00572706518935446	1.02644604634694
1500	300	24	7	40.8631701073517	0.877921780314792	0.877406166942139	0.00451357785160172	0.0228882978545108	1.02824572676908
102.563	230	37	6	56.7941735032697	1.2162486732658	1.21774605025798	0.00622147022890135	0.016544849414376	1.00686359893324
756.984	280	30	8	52.6430671259743	1.12314258443799	1.12389627780999	0.00291483720131085	0.00915817289979319	1.00384106446099
51.229	160	19	7	40.678968982332	0.870063965080614	0.869522379617384	0.00270822222917336	0.0141081863040095	1.01937524364402
644.151	200	47	6	-52.8526808870549	-1.13463446863896	-1.13547151887551	0.00703164232529904	0.0213805397707136	1.01583687094132
15.313	110	22	5	5.79808726011715	0.124361502435008	0.124048742271904	7.74243020385822e-05	0.0196315546922287	1.04078118993936
243.237	110	10	8	-6.39910519569595	-0.137589996408253	-0.137245180870633	0.000118537769714634	0.0244342805250159	1.04583100351357
256.894	70	1	4	27.0937900999832	0.588022235300384	0.587038295851829	0.00383583681447947	0.0424889886644834	1.05846071308075
22.464	100	1	6	54.8206692516092	1.18427252872957	1.18549665841002	0.0121737541277209	0.0335550826948458	1.02620342964999
45.689	190	39	6	14.887062708028	0.31932210295308	0.318589345954025	0.000512707199462629	0.0197162025095895	1.03903465943684
724.938	70	8	5	-47.294354402275	-1.0165254760126	-1.01661234545205	0.0062768394812887	0.0237212897256565	1.02359766178256
1126.461	360	38	7	85.4270104232123	1.82654419364463	1.83758527068313	0.0113658782489516	0.0134438735737045	0.965916688819205
1985.119	360	35	5	44.8149221472122	0.98068190954434	0.980585708767309	0.0148450606193128	0.0581522273436332	1.06257629098135
1837.516	300	40	5	-19.4929488582106	-0.42546331549977	-0.424572667795974	0.00254675575610135	0.0532777216629564	1.07413310595412
135.986	120	22	7	-16.6178896547322	-0.35486960908085	-0.354076939514885	0.000349463514228302	0.010978173523539	1.02935089571582
237.703	150	27	8	-23.1755804719718	-0.49531747291234	-0.494361793145096	0.000783743354529191	0.012616888365418	1.02854738094206
976.641	220	31	6	-7.19723367416973	-0.153635286704381	-0.153252086931775	6.08983998240199e-05	0.0102146838307879	1.03070792826891
1452.689	280	19	7	41.7162819227394	0.896746028808373	0.896296048179931	0.00493683319033493	0.0239680959282942	1.02867889605196
